,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,Direction
8957,GO:0140018,0.035901679,1,1,1,regulation of cytoplasmic translational fidelity,BP,Up
2765,GO:0019240,0.035920742,1,1,1,citrulline biosynthetic process,BP,Up
9282,GO:1901585,0.036133486,1,1,1,regulation of acid-sensing ion channel activity,BP,Up
8865,GO:0099627,0.036214987,1,1,1,neurotransmitter receptor cycle,BP,Up
8866,GO:0099630,0.036214987,1,1,1,postsynaptic neurotransmitter receptor cycle,BP,Up
1809,GO:0008627,0.036308122,1,1,1,intrinsic apoptotic signaling pathway in response to osmotic stress,BP,Up
10548,GO:1990683,0.03636959,1,1,1,DNA double-strand break attachment to nuclear envelope,BP,Up
9139,GO:1900274,0.036430899,1,1,1,regulation of phospholipase C activity,BP,Up
1432,GO:0006935,0.036444535,0.990116555,5,54,chemotaxis,BP,Up
10561,GO:1990785,0.036457357,1,1,1,response to water-immersion restraint stress,BP,Up
4133,GO:0034397,0.036631756,1,1,1,telomere localization,BP,Up
8373,GO:0090172,0.036631756,1,1,1,microtubule cytoskeleton organization involved in homologous chromosome segregation,BP,Up
8397,GO:0090220,0.036631756,1,1,1,chromosome localization to nuclear envelope involved in homologous chromosome segregation,BP,Up
959,GO:0006149,0.036780178,1,1,1,deoxyinosine catabolic process,BP,Up
962,GO:0006161,0.036780178,1,1,1,deoxyguanosine catabolic process,BP,Up
5659,GO:0046115,0.036780178,1,1,1,guanosine catabolic process,BP,Up
833,GO:0003345,0.036833098,1,1,1,proepicardium cell migration involved in pericardium morphogenesis,BP,Up
1048,GO:0006311,0.036911303,1,1,1,meiotic gene conversion,BP,Up
8298,GO:0089718,0.036974601,0.996934057,2,10,amino acid import across plasma membrane,BP,Up
393,GO:0002033,0.037050641,1,1,1,angiotensin-mediated vasodilation involved in regulation of systemic arterial blood pressure,BP,Up
1326,GO:0006740,0.037050641,1,1,1,NADPH regeneration,BP,Up
2158,GO:0010734,0.037050641,1,1,1,negative regulation of protein glutathionylation,BP,Up
7053,GO:0060611,0.037124482,1,1,1,mammary gland fat development,BP,Up
9418,GO:1902228,0.037124482,1,1,1,positive regulation of macrophage colony-stimulating factor signaling pathway,BP,Up
5835,GO:0046854,0.037283281,0.991695811,4,39,phosphatidylinositol phosphorylation,BP,Up
7047,GO:0060588,0.037321528,1,1,1,negative regulation of lipoprotein lipid oxidation,BP,Up
10626,GO:2000098,0.037321528,1,1,1,negative regulation of smooth muscle cell-matrix adhesion,BP,Up
2185,GO:0010767,0.037423927,1,1,1,regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage,BP,Up
1180,GO:0006529,0.037444608,1,1,1,asparagine biosynthetic process,BP,Up
541,GO:0002460,0.03744687,1,1,1,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,BP,Up
2317,GO:0014008,0.03744687,1,1,1,positive regulation of microglia differentiation,BP,Up
3723,GO:0032667,0.03744687,1,1,1,regulation of interleukin-23 production,BP,Up
3804,GO:0032829,0.03744687,1,1,1,"regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation",BP,Up
3846,GO:0032943,0.03744687,1,1,1,mononuclear cell proliferation,BP,Up
5328,GO:0045066,0.03744687,1,1,1,regulatory T cell differentiation,BP,Up
5573,GO:0045918,0.03744687,1,1,1,negative regulation of cytolysis,BP,Up
7127,GO:0060751,0.03744687,1,1,1,branch elongation involved in mammary gland duct branching,BP,Up
10303,GO:1905313,0.03744687,1,1,1,transforming growth factor beta receptor signaling pathway involved in heart development,BP,Up
6272,GO:0050901,0.037527944,0.996862829,2,10,leukocyte tethering or rolling,BP,Up
3719,GO:0032652,0.037569876,1,1,1,regulation of interleukin-1 production,BP,Up
2228,GO:0010839,0.037752048,0.996833812,2,10,negative regulation of keratinocyte proliferation,BP,Up
2867,GO:0019915,0.037758963,0.993953182,3,22,lipid storage,BP,Up
3525,GO:0032076,0.037774804,1,1,1,negative regulation of deoxyribonuclease activity,BP,Up
447,GO:0002192,0.037804053,1,1,1,IRES-dependent translational initiation of linear mRNA,BP,Up
9379,GO:1902045,0.037838285,1,1,1,negative regulation of Fas signaling pathway,BP,Up
2610,GO:0016488,0.038120044,1,1,1,farnesol catabolic process,BP,Up
3508,GO:0032013,0.038135316,1,1,1,negative regulation of ARF protein signal transduction,BP,Up
7534,GO:0070232,0.038177202,1,1,1,regulation of T cell apoptotic process,BP,Up
7971,GO:0071674,0.038177202,1,1,1,mononuclear cell migration,BP,Up
9850,GO:1903769,0.038177202,1,1,1,negative regulation of cell proliferation in bone marrow,BP,Up
10807,GO:2000521,0.038177202,1,1,1,negative regulation of immunological synapse formation,BP,Up
11011,GO:2001189,0.038177202,1,1,1,negative regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell,BP,Up
10713,GO:2000309,0.038205012,1,1,1,positive regulation of tumor necrosis factor (ligand) superfamily member 11 production,BP,Up
10765,GO:2000399,0.038205012,1,1,1,negative regulation of thymocyte aggregation,BP,Up
10773,GO:2000415,0.038205012,1,1,1,positive regulation of fibronectin-dependent thymocyte migration,BP,Up
10774,GO:2000418,0.038205012,1,1,1,positive regulation of eosinophil migration,BP,Up
4682,GO:0038195,0.038220794,1,1,1,urokinase plasminogen activator signaling pathway,BP,Up
563,GO:0002525,0.038297535,1,1,1,acute inflammatory response to non-antigenic stimulus,BP,Up
5790,GO:0046670,0.038297535,1,1,1,positive regulation of retinal cell programmed cell death,BP,Up
7067,GO:0060649,0.038345069,1,1,1,mammary gland bud elongation,BP,Up
7068,GO:0060659,0.038345069,1,1,1,nipple sheath formation,BP,Up
6109,GO:0048757,0.038361811,1,1,1,pigment granule maturation,BP,Up
6296,GO:0050931,0.038361811,1,1,1,pigment cell differentiation,BP,Up
349,GO:0001958,0.038395132,0.993762537,3,24,endochondral ossification,BP,Up
8217,GO:0072709,0.038413922,1,1,1,cellular response to sorbitol,BP,Up
8229,GO:0072740,0.038413922,1,1,1,cellular response to anisomycin,BP,Up
10636,GO:2000119,0.038456744,1,1,1,negative regulation of sodium-dependent phosphate transport,BP,Up
6813,GO:0060143,0.038457721,1,1,1,positive regulation of syncytium formation by plasma membrane fusion,BP,Up
1191,GO:0006542,0.038460294,1,1,1,glutamine biosynthetic process,BP,Up
6499,GO:0051466,0.038474853,1,1,1,positive regulation of corticotropin-releasing hormone secretion,BP,Up
5447,GO:0045645,0.03848552,1,1,1,positive regulation of eosinophil differentiation,BP,Up
5458,GO:0045659,0.03848552,1,1,1,negative regulation of neutrophil differentiation,BP,Up
10236,GO:1905017,0.038489714,1,1,1,positive regulation of isoleucine-tRNA ligase activity,BP,Up
10237,GO:1905020,0.038489714,1,1,1,positive regulation of methionine-tRNA ligase activity,BP,Up
10238,GO:1905023,0.038489714,1,1,1,positive regulation of threonine-tRNA ligase activity,BP,Up
10989,GO:2001111,0.038492577,1,1,1,positive regulation of lens epithelial cell proliferation,BP,Up
2486,GO:0015853,0.038495149,1,1,1,adenine transport,BP,Up
2487,GO:0015854,0.038495149,1,1,1,guanine transport,BP,Up
4298,GO:0035344,0.038495149,1,1,1,hypoxanthine transport,BP,Up
4305,GO:0035364,0.038495149,1,1,1,thymine transport,BP,Up
10946,GO:2000844,0.038498407,1,1,1,negative regulation of testosterone secretion,BP,Up
9734,GO:1903394,0.038501879,1,1,1,protein localization to kinetochore involved in kinetochore assembly,BP,Up
9232,GO:1901291,0.038502844,1,1,1,negative regulation of double-strand break repair via single-strand annealing,BP,Up
260,GO:0001781,0.038504448,1,1,1,neutrophil apoptotic process,BP,Up
522,GO:0002384,0.038504448,1,1,1,hepatic immune response,BP,Up
7483,GO:0070091,0.038504448,1,1,1,glucagon secretion,BP,Up
3728,GO:0032686,0.038504715,1,1,1,negative regulation of hepatocyte growth factor production,BP,Up
674,GO:0002864,0.038505791,1,1,1,regulation of acute inflammatory response to antigenic stimulus,BP,Up
8400,GO:0090230,0.038506074,1,1,1,regulation of centromere complex assembly,BP,Up
5301,GO:0044869,0.038506168,1,1,1,negative regulation by host of viral exo-alpha-sialidase activity,BP,Up
5302,GO:0044871,0.038506168,1,1,1,negative regulation by host of viral glycoprotein metabolic process,BP,Up
9621,GO:1903016,0.038506168,1,1,1,negative regulation of exo-alpha-sialidase activity,BP,Up
9622,GO:1903019,0.038506168,1,1,1,negative regulation of glycoprotein metabolic process,BP,Up
5491,GO:0045738,0.03850619,1,1,1,negative regulation of DNA repair,BP,Up
7346,GO:0061481,0.03850619,1,1,1,response to TNF agonist,BP,Up
9502,GO:1902546,0.03850619,1,1,1,positive regulation of DNA N-glycosylase activity,BP,Up
11055,GO:2001272,0.03850619,1,1,1,positive regulation of cysteine-type endopeptidase activity involved in execution phase of apoptosis,BP,Up
6696,GO:0055026,0.03850619,1,1,1,negative regulation of cardiac muscle tissue development,BP,Up
593,GO:0002617,0.038506222,1,1,1,negative regulation of macrophage antigen processing and presentation,BP,Up
2792,GO:0019371,0.038506222,1,1,1,cyclooxygenase pathway,BP,Up
5079,GO:0043381,0.038506222,1,1,1,negative regulation of memory T cell differentiation,BP,Up
10315,GO:1905364,0.038506222,1,1,1,regulation of endosomal vesicle fusion,BP,Up
6738,GO:0060018,0.038506247,1,1,1,astrocyte fate commitment,BP,Up
7018,GO:0060517,0.038506247,1,1,1,epithelial cell proliferation involved in prostatic bud elongation,BP,Up
7142,GO:0060784,0.038506247,1,1,1,regulation of cell proliferation involved in tissue homeostasis,BP,Up
7235,GO:0061046,0.038506247,1,1,1,regulation of branching involved in lung morphogenesis,BP,Up
8114,GO:0072190,0.038506247,1,1,1,ureter urothelium development,BP,Up
10923,GO:2000794,0.038506247,1,1,1,regulation of epithelial cell proliferation involved in lung morphogenesis,BP,Up
10523,GO:1990442,0.038506248,1,1,1,intrinsic apoptotic signaling pathway in response to nitrosative stress,BP,Up
270,GO:0001815,0.03850625,1,1,1,positive regulation of antibody-dependent cellular cytotoxicity,BP,Up
558,GO:0002519,0.03850625,1,1,1,natural killer cell tolerance induction,BP,Up
627,GO:0002715,0.03850625,1,1,1,regulation of natural killer cell mediated immunity,BP,Up
628,GO:0002717,0.03850625,1,1,1,positive regulation of natural killer cell mediated immunity,BP,Up
1810,GO:0008628,0.03850625,1,1,1,hormone-mediated apoptotic signaling pathway,BP,Up
2054,GO:0010482,0.03850625,1,1,1,regulation of epidermal cell division,BP,Up
2288,GO:0010957,0.03850625,1,1,1,negative regulation of vitamin D biosynthetic process,BP,Up
3768,GO:0032759,0.03850625,1,1,1,positive regulation of TRAIL production,BP,Up
4481,GO:0035921,0.03850625,1,1,1,desmosome disassembly,BP,Up
5367,GO:0045210,0.03850625,1,1,1,FasL biosynthetic process,BP,Up
6990,GO:0060456,0.03850625,1,1,1,positive regulation of digestive system process,BP,Up
7399,GO:0061715,0.03850625,1,1,1,miRNA 2'-O-methylation,BP,Up
8918,GO:0110077,0.03850625,1,1,1,vesicle-mediated intercellular transport,BP,Up
9047,GO:1900036,0.03850625,1,1,1,positive regulation of cellular response to heat,BP,Up
9178,GO:1901003,0.03850625,1,1,1,negative regulation of fermentation,BP,Up
9527,GO:1902669,0.03850625,1,1,1,positive regulation of axon guidance,BP,Up
2091,GO:0010592,0.039697498,0.993465851,3,24,positive regulation of lamellipodium assembly,BP,Up
3836,GO:0032924,0.039963911,0.996542234,2,10,activin receptor signaling pathway,BP,Up
7586,GO:0070373,0.04037917,0.988707405,5,58,negative regulation of ERK1 and ERK2 cascade,BP,Up
3291,GO:0030855,0.040448548,0.993374434,3,21,epithelial cell differentiation,BP,Up
3744,GO:0032717,0.040591151,0.996457851,2,10,negative regulation of interleukin-8 production,BP,Up
825,GO:0003334,0.040593138,0.996457582,2,10,keratinocyte development,BP,Up
2280,GO:0010942,0.041036121,0.990593312,4,38,positive regulation of cell death,BP,Up
6660,GO:0051968,0.042002609,0.992885205,3,26,"positive regulation of synaptic transmission, glutamatergic",BP,Up
9483,GO:1902476,0.042021848,0.99288066,3,26,chloride transmembrane transport,BP,Up
6068,GO:0048675,0.042309632,0.992834648,3,25,axon extension,BP,Up
1444,GO:0006955,0.042341912,0.984784461,7,91,immune response,BP,Up
8630,GO:0097421,0.042438503,0.996205027,2,10,liver regeneration,BP,Up
1974,GO:0009968,0.042441434,0.990123262,4,41,negative regulation of signal transduction,BP,Up
8582,GO:0097194,0.042570231,0.996186756,2,10,execution phase of apoptosis,BP,Up
2044,GO:0010458,0.042682648,0.996171138,2,10,exit from mitosis,BP,Up
7190,GO:0060976,0.042730907,0.99271254,3,26,coronary vasculature development,BP,Up
3135,GO:0030073,0.04302779,0.99268894,3,24,insulin secretion,BP,Up
2194,GO:0010800,0.043152987,0.992634579,3,25,positive regulation of peptidyl-threonine phosphorylation,BP,Up
4733,GO:0042060,0.043318561,0.987644067,5,59,wound healing,BP,Up
7585,GO:0070372,0.043338129,0.992615232,3,24,regulation of ERK1 and ERK2 cascade,BP,Up
5005,GO:0043117,0.04353132,0.996052477,2,10,positive regulation of vascular permeability,BP,Up
3494,GO:0031953,0.043555761,0.99604904,2,10,negative regulation of protein autophosphorylation,BP,Up
6955,GO:0060411,0.044045758,0.995979903,2,10,cardiac septum morphogenesis,BP,Up
5010,GO:0043129,0.044682539,0.995889399,2,10,surfactant homeostasis,BP,Up
3738,GO:0032700,0.044729137,0.995882747,2,10,negative regulation of interleukin-17 production,BP,Up
4173,GO:0034605,0.044759375,0.989420517,4,40,cellular response to heat,BP,Up
5942,GO:0048246,0.04476871,0.995877094,2,10,macrophage chemotaxis,BP,Up
2299,GO:0010976,0.045216629,0.980958186,9,146,positive regulation of neuron projection development,BP,Up
5029,GO:0043249,0.045240753,0.995809452,2,10,erythrocyte maturation,BP,Up
6852,GO:0060253,0.045297289,0.995801324,2,10,negative regulation of glial cell proliferation,BP,Up
3856,GO:0032966,0.045326444,0.99579713,2,10,negative regulation of collagen biosynthetic process,BP,Up
3399,GO:0031334,0.045868682,0.989073136,4,40,positive regulation of protein-containing complex assembly,BP,Up
3857,GO:0032967,0.045988893,0.992006045,3,23,positive regulation of collagen biosynthetic process,BP,Up
330,GO:0001933,0.046097371,0.984693261,6,79,negative regulation of protein phosphorylation,BP,Up
1701,GO:0007601,0.04651161,0.986484043,5,58,visual perception,BP,Up
322,GO:0001916,0.046806854,0.991839407,3,22,positive regulation of T cell mediated cytotoxicity,BP,Up
6127,GO:0048839,0.047366352,0.98858393,4,41,inner ear development,BP,Up
9817,GO:1903671,0.047436353,0.995416168,2,11,negative regulation of sprouting angiogenesis,BP,Up
10700,GO:2000279,0.047500663,0.995406517,2,11,negative regulation of DNA biosynthetic process,BP,Up
3221,GO:0030334,0.047795322,0.983970769,6,82,regulation of cell migration,BP,Up
1480,GO:0007019,0.047906981,0.995345369,2,11,microtubule depolymerization,BP,Up
3244,GO:0030510,0.047958462,0.995412191,2,10,regulation of BMP signaling pathway,BP,Up
5792,GO:0046676,0.04890553,0.99120036,3,26,negative regulation of insulin secretion,BP,Up
2051,GO:0010468,0.049486966,0.974374387,14,256,regulation of gene expression,BP,Up
1455,GO:0006977,0.049527593,0.995176824,2,10,"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest",BP,Up
3388,GO:0031290,0.049590771,0.995024085,2,12,retinal ganglion cell axon guidance,BP,Up
382,GO:0002021,0.049679147,0.995075199,2,11,response to dietary excess,BP,Up
1775,GO:0008306,0.04994398,0.990965315,3,25,associative learning,BP,Up
5025,GO:0043243,0.000792492,0.999992942,2,5,positive regulation of protein-containing complex disassembly,BP,Down
3624,GO:0032410,0.001044635,0.999988356,2,6,negative regulation of transporter activity,BP,Down
3238,GO:0030497,0.001928451,0.999967798,2,8,fatty acid elongation,BP,Down
10956,GO:2000969,0.002682999,0.999946969,2,8,positive regulation of AMPA receptor activity,BP,Down
4922,GO:0042761,0.002700193,0.999944932,2,9,very long-chain fatty acid biosynthetic process,BP,Down
2431,GO:0015701,0.003065768,0.999931824,2,10,bicarbonate transport,BP,Down
1161,GO:0006497,0.003157973,0.9999287,2,10,protein lipidation,BP,Down
3974,GO:0033539,0.003454123,0.999918347,2,10,fatty acid beta-oxidation using acyl-CoA dehydrogenase,BP,Down
3225,GO:0030388,0.004051484,0.999898267,2,9,"fructose 1,6-bisphosphate metabolic process",BP,Down
1395,GO:0006879,0.004245193,0.999691044,3,35,cellular iron ion homeostasis,BP,Down
1904,GO:0009411,0.005101181,0.999601092,3,39,response to UV,BP,Down
8461,GO:0090331,0.005212479,0.999842968,2,12,negative regulation of platelet aggregation,BP,Down
4036,GO:0034097,0.006939445,0.999391431,3,42,response to cytokine,BP,Down
943,GO:0006111,0.007722967,0.9997064,2,15,regulation of gluconeogenesis,BP,Down
5613,GO:0045995,0.007928664,0.999694443,2,15,regulation of embryonic development,BP,Down
10678,GO:2000224,0.008474905,1,1,1,regulation of testosterone biosynthetic process,BP,Down
9810,GO:1903640,0.008474905,1,1,1,negative regulation of gastrin-induced gastric acid secretion,BP,Down
10017,GO:1904320,0.008474905,1,1,1,positive regulation of smooth muscle contraction involved in micturition,BP,Down
10019,GO:1904325,0.008474905,1,1,1,positive regulation of inhibitory G protein-coupled receptor phosphorylation,BP,Down
10020,GO:1904326,0.008474905,1,1,1,"negative regulation of circadian sleep/wake cycle, wakefulness",BP,Down
10022,GO:1904330,0.008474905,1,1,1,positive regulation of myofibroblast contraction,BP,Down
10557,GO:1990767,0.008474905,1,1,1,prostaglandin receptor internalization,BP,Down
3616,GO:0032385,0.008474905,1,1,1,positive regulation of intracellular cholesterol transport,BP,Down
5587,GO:0045940,0.008474905,1,1,1,positive regulation of steroid metabolic process,BP,Down
9248,GO:1901373,0.008474905,1,1,1,lipid hydroperoxide transport,BP,Down
645,GO:0002761,0.008474905,1,1,1,regulation of myeloid leukocyte differentiation,BP,Down
10413,GO:1905768,0.008474905,1,1,1,negative regulation of double-stranded telomeric DNA binding,BP,Down
1293,GO:0006679,0.008474905,1,1,1,glucosylceramide biosynthetic process,BP,Down
8743,GO:0098856,0.008474905,1,1,1,intestinal lipid absorption,BP,Down
8648,GO:0097502,0.008474905,1,1,1,mannosylation,BP,Down
8607,GO:0097298,0.008474905,1,1,1,regulation of nucleus size,BP,Down
10556,GO:1990764,0.008474905,1,1,1,myofibroblast contraction,BP,Down
4096,GO:0034312,0.008474905,1,1,1,diol biosynthetic process,BP,Down
7480,GO:0070076,0.008474905,1,1,1,histone lysine demethylation,BP,Down
7517,GO:0070193,0.008474905,1,1,1,synaptonemal complex organization,BP,Down
8434,GO:0090285,0.008474905,1,1,1,negative regulation of protein glycosylation in Golgi,BP,Down
8315,GO:0090044,0.008474905,1,1,1,positive regulation of tubulin deacetylation,BP,Down
5379,GO:0045329,0.008474905,1,1,1,carnitine biosynthetic process,BP,Down
8477,GO:0090387,0.008474905,1,1,1,phagolysosome assembly involved in apoptotic cell clearance,BP,Down
4544,GO:0036153,0.008474905,1,1,1,triglyceride acyl-chain remodeling,BP,Down
7809,GO:0071279,0.008474905,1,1,1,cellular response to cobalt ion,BP,Down
7444,GO:0061938,0.008517777,1,1,1,protein localization to somatodendritic compartment,BP,Down
1628,GO:0007288,0.009369859,0.999600891,2,17,sperm axoneme assembly,BP,Down
9134,GO:1900260,0.010471598,1,1,1,negative regulation of RNA-directed 5'-3' RNA polymerase activity,BP,Down
4509,GO:0036031,0.010525119,1,1,1,recruitment of mRNA capping enzyme to RNA polymerase II holoenzyme complex,BP,Down
8875,GO:0106005,0.010525119,1,1,1,RNA 5'-cap (guanine-N7)-methylation,BP,Down
2870,GO:0019932,0.010620289,1,1,1,second-messenger-mediated signaling,BP,Down
10937,GO:2000816,0.010978594,1,1,1,negative regulation of mitotic sister chromatid separation,BP,Down
10715,GO:2000311,0.010986742,0.999488762,2,18,regulation of AMPA receptor activity,BP,Down
5158,GO:0043624,0.011335138,1,1,1,cellular protein complex disassembly,BP,Down
5280,GO:0044788,0.011335138,1,1,1,modulation by host of viral process,BP,Down
7410,GO:0061741,0.011335138,1,1,1,chaperone-mediated protein transport involved in chaperone-mediated autophagy,BP,Down
9579,GO:1902904,0.011335138,1,1,1,negative regulation of supramolecular fiber organization,BP,Down
10102,GO:1904592,0.011335138,1,1,1,positive regulation of protein refolding,BP,Down
10156,GO:1904764,0.011335138,1,1,1,chaperone-mediated autophagy translocation complex disassembly,BP,Down
10570,GO:1990832,0.011335138,1,1,1,slow axonal transport,BP,Down
10063,GO:1904439,0.011394496,1,1,1,negative regulation of iron ion import across plasma membrane,BP,Down
3145,GO:0030148,0.011915614,0.999418726,2,19,sphingolipid biosynthetic process,BP,Down
7676,GO:0070741,0.012152236,1,1,1,response to interleukin-6,BP,Down
7766,GO:0071104,0.012152236,1,1,1,response to interleukin-9,BP,Down
7767,GO:0071105,0.012152236,1,1,1,response to interleukin-11,BP,Down
7394,GO:0061682,0.012154429,1,1,1,seminal vesicle morphogenesis,BP,Down
10611,GO:2000057,0.012745475,1,1,1,negative regulation of Wnt signaling pathway involved in digestive tract morphogenesis,BP,Down
6140,GO:0048857,0.014208021,1,1,1,neural nucleus development,BP,Down
7323,GO:0061370,0.015637249,1,1,1,testosterone biosynthetic process,BP,Down
2270,GO:0010920,0.0168786,0.999928791,1,2,negative regulation of inositol phosphate biosynthetic process,BP,Down
6859,GO:0060267,0.0168786,0.999928791,1,2,positive regulation of respiratory burst,BP,Down
6076,GO:0048692,0.0168786,0.999928791,1,2,negative regulation of axon extension involved in regeneration,BP,Down
6485,GO:0051446,0.0168786,0.999928791,1,2,positive regulation of meiotic cell cycle,BP,Down
5372,GO:0045218,0.0168786,0.999928791,1,2,zonula adherens maintenance,BP,Down
3509,GO:0032014,0.0168786,0.999928791,1,2,positive regulation of ARF protein signal transduction,BP,Down
5933,GO:0048211,0.0168786,0.999928791,1,2,Golgi vesicle docking,BP,Down
10026,GO:1904343,0.0168786,0.999928791,1,2,positive regulation of colon smooth muscle contraction,BP,Down
2229,GO:0010840,0.0168786,0.999928791,1,2,"regulation of circadian sleep/wake cycle, wakefulness",BP,Down
208,GO:0001660,0.0168786,0.999928791,1,2,fever generation,BP,Down
3451,GO:0031622,0.0168786,0.999928791,1,2,positive regulation of fever generation,BP,Down
10027,GO:1904346,0.0168786,0.999928791,1,2,positive regulation of gastric mucosal blood circulation,BP,Down
7761,GO:0071071,0.0168786,0.999928791,1,2,regulation of phospholipid biosynthetic process,BP,Down
2379,GO:0014827,0.0168786,0.999928791,1,2,intestine smooth muscle contraction,BP,Down
1311,GO:0006701,0.0168786,0.999928791,1,2,progesterone biosynthetic process,BP,Down
2258,GO:0010893,0.0168786,0.999928791,1,2,positive regulation of steroid biosynthetic process,BP,Down
3901,GO:0033128,0.0168786,0.999928791,1,2,negative regulation of histone phosphorylation,BP,Down
9231,GO:1901255,0.0168786,0.999928791,1,2,nucleotide-excision repair involved in interstrand cross-link repair,BP,Down
8573,GO:0097176,0.0168786,0.999928791,1,2,epoxide metabolic process,BP,Down
1695,GO:0007589,0.0168786,0.999928791,1,2,body fluid secretion,BP,Down
2232,GO:0010845,0.0168786,0.999928791,1,2,positive regulation of reciprocal meiotic recombination,BP,Down
877,GO:0005986,0.0168786,0.999928791,1,2,sucrose biosynthetic process,BP,Down
6326,GO:0051026,0.016883439,0.999928749,1,2,chiasma assembly,BP,Down
1321,GO:0006725,0.016946793,0.999928211,1,2,cellular aromatic compound metabolic process,BP,Down
1164,GO:0006505,0.016973245,0.999927986,1,2,GPI anchor metabolic process,BP,Down
10483,GO:1990144,0.017005077,0.999927715,1,2,intrinsic apoptotic signaling pathway in response to hypoxia,BP,Down
4174,GO:0034612,0.017240155,0.998970546,2,21,response to tumor necrosis factor,BP,Down
38,GO:0000187,0.017256125,0.997854023,3,61,activation of MAPK activity,BP,Down
10877,GO:2000671,0.01752935,0.999923168,1,2,regulation of motor neuron apoptotic process,BP,Down
9309,GO:1901726,0.017770456,0.99992103,1,2,negative regulation of histone deacetylase activity,BP,Down
10744,GO:2000360,0.017779009,0.999920954,1,2,negative regulation of binding of sperm to zona pellucida,BP,Down
1335,GO:0006753,0.018107303,0.999917994,1,2,nucleoside phosphate metabolic process,BP,Down
10672,GO:2000194,0.019436738,0.999905446,1,2,regulation of female gonad development,BP,Down
8145,GO:0072318,0.019714798,0.999902707,1,2,clathrin coat disassembly,BP,Down
7409,GO:0061740,0.019714798,0.999902707,1,2,protein targeting to lysosome involved in chaperone-mediated autophagy,BP,Down
9996,GO:1904234,0.019773657,0.999902123,1,2,positive regulation of aconitate hydratase activity,BP,Down
7663,GO:0070669,0.02052503,0.999894502,1,2,response to interleukin-2,BP,Down
7664,GO:0070670,0.02052503,0.999894502,1,2,response to interleukin-4,BP,Down
7768,GO:0071107,0.02052503,0.999894502,1,2,response to parathyroid hormone,BP,Down
829,GO:0003340,0.02052503,0.999894502,1,2,negative regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis,BP,Down
7118,GO:0060741,0.020527204,0.99989448,1,2,prostate gland stromal morphogenesis,BP,Down
5567,GO:0045907,0.021072872,0.998583623,2,25,positive regulation of vasoconstriction,BP,Down
8374,GO:0090175,0.021113284,0.999888335,1,2,regulation of establishment of planar polarity,BP,Down
10602,GO:2000041,0.021113284,0.999888335,1,2,negative regulation of planar cell polarity pathway involved in axis elongation,BP,Down
6660,GO:0051968,0.021912424,0.998492703,2,26,"positive regulation of synaptic transmission, glutamatergic",BP,Down
1606,GO:0007254,0.022910366,0.998382718,2,27,JNK cascade,BP,Down
3226,GO:0030389,0.02325314,0.999864404,1,2,fructosamine metabolic process,BP,Down
5368,GO:0045213,0.025211679,0.999787558,1,3,neurotransmitter receptor metabolic process,BP,Down
2713,GO:0018343,0.025211679,0.999787558,1,3,protein farnesylation,BP,Down
10179,GO:1904825,0.025211679,0.999787558,1,3,protein localization to microtubule plus-end,BP,Down
4332,GO:0035494,0.025211679,0.999787558,1,3,SNARE complex disassembly,BP,Down
4672,GO:0038165,0.025211679,0.999787558,1,3,oncostatin-M-mediated signaling pathway,BP,Down
5433,GO:0045619,0.025211679,0.999787558,1,3,regulation of lymphocyte differentiation,BP,Down
10727,GO:2000331,0.025211679,0.999787558,1,3,regulation of terminal button organization,BP,Down
8991,GO:0140507,0.025211679,0.999787558,1,3,granzyme-mediated programmed cell death signaling pathway,BP,Down
5965,GO:0048302,0.025211679,0.999787558,1,3,regulation of isotype switching to IgG isotypes,BP,Down
5961,GO:0048294,0.025211679,0.999787558,1,3,negative regulation of isotype switching to IgE isotypes,BP,Down
4405,GO:0035694,0.025211679,0.999787558,1,3,mitochondrial protein catabolic process,BP,Down
2770,GO:0019254,0.025211679,0.999787558,1,3,"carnitine metabolic process, CoA-linked",BP,Down
8707,GO:0098698,0.025211682,0.999787558,1,3,postsynaptic specialization assembly,BP,Down
5948,GO:0048259,0.025212123,0.99978755,1,3,regulation of receptor-mediated endocytosis,BP,Down
5210,GO:0044065,0.025225014,0.999787332,1,3,regulation of respiratory system process,BP,Down
1035,GO:0006295,0.025312077,0.999785853,1,3,"nucleotide-excision repair, DNA incision, 3'-to lesion",BP,Down
331,GO:0001934,0.025759719,0.993509902,5,182,positive regulation of protein phosphorylation,BP,Down
1753,GO:0008206,0.025910525,0.999775546,1,3,bile acid metabolic process,BP,Down
2356,GO:0014070,0.025918582,0.998041976,2,28,response to organic cyclic compound,BP,Down
1203,GO:0006556,0.027088589,0.999754539,1,3,S-adenosylmethionine biosynthetic process,BP,Down
1036,GO:0006296,0.027645379,0.99974428,1,3,"nucleotide-excision repair, DNA incision, 5'-to lesion",BP,Down
3415,GO:0031401,0.027748319,0.99974236,1,3,positive regulation of protein modification process,BP,Down
5348,GO:0045143,0.027969591,0.999738208,1,3,homologous chromosome segregation,BP,Down
